"","category","over_represented_pvalue","under_represented_pvalue","numDEInCat","numInCat","term","ontology","bh_adjust"
"2147","GO:0032368",5.23963354681945e-05,1,3,3,"regulation of lipid transport","BP",0.000186248490884853
"3691","GO:0060090",5.24167853906629e-05,1,3,3,"molecular adaptor activity","MF",0.000186248490884853
"1801","GO:0030031",5.27746064095553e-05,1,3,3,"cell projection assembly","BP",0.000186978334766562
"2930","GO:0044782",5.27746064095553e-05,1,3,3,"cilium organization","BP",0.000186978334766562
"3708","GO:0060271",5.27746064095553e-05,1,3,3,"cilium assembly","BP",0.000186978334766562
"4398","GO:0120031",5.27746064095553e-05,1,3,3,"plasma membrane bounded cell projection assembly","BP",0.000186978334766562
"1751","GO:0022407",5.39456761815321e-05,1,3,3,"regulation of cell-cell adhesion","BP",0.000190851790211087
"1752","GO:0022409",5.39456761815321e-05,1,3,3,"positive regulation of cell-cell adhesion","BP",0.000190851790211087
"1891","GO:0030522",5.49093959518076e-05,1,3,3,"intracellular receptor signaling pathway","BP",0.000194121329924726
"1088","GO:0009132",5.66542107600995e-05,1,3,3,"nucleoside diphosphate metabolic process","BP",0.000198999436077171
"1090","GO:0009135",5.66542107600995e-05,1,3,3,"purine nucleoside diphosphate metabolic process","BP",0.000198999436077171
"1108","GO:0009179",5.66542107600995e-05,1,3,3,"purine ribonucleoside diphosphate metabolic process","BP",0.000198999436077171
"1110","GO:0009185",5.66542107600995e-05,1,3,3,"ribonucleoside diphosphate metabolic process","BP",0.000198999436077171
"2511","GO:0036126",5.66542107600995e-05,1,3,3,"sperm flagellum","CC",0.000198999436077171
"3084","GO:0046031",5.66542107600995e-05,1,3,3,"ADP metabolic process","BP",0.000198999436077171
"3086","GO:0046034",5.66542107600995e-05,1,3,3,"ATP metabolic process","BP",0.000198999436077171
"4264","GO:0097223",5.66542107600995e-05,1,3,3,NA,NA,0.000198999436077171
"4308","GO:0097729",5.66542107600995e-05,1,3,3,"9+2 motile cilium","CC",0.000198999436077171
"3817","GO:0061136",5.76304832742088e-05,1,3,3,"regulation of proteasomal protein catabolic process","BP",0.000202139229039701
"4592","GO:1903050",5.76304832742088e-05,1,3,3,"regulation of proteolysis involved in cellular protein catabolic process","BP",0.000202139229039701
"24","GO:0000151",5.80520792250453e-05,1,3,3,"ubiquitin ligase complex","CC",0.000203327303895287
"2040","GO:0031461",5.80520792250453e-05,1,3,3,"cullin-RING ubiquitin ligase complex","CC",0.000203327303895287
"376","GO:0003727",5.85791250068387e-05,1,3,3,"single-stranded RNA binding","MF",0.000205026937523935
"2641","GO:0042542",5.98775178524458e-05,1,3,3,"response to hydrogen peroxide","BP",0.000209421938775447
"994","GO:0008168",6.08644135192457e-05,1,3,3,"methyltransferase activity","MF",0.000212419400525561
"995","GO:0008170",6.08644135192457e-05,1,3,3,"N-methyltransferase activity","MF",0.000212419400525561
"1061","GO:0008757",6.08644135192457e-05,1,3,3,"S-adenosylmethionine-dependent methyltransferase activity","MF",0.000212419400525561
"2917","GO:0044456",6.28102816970853e-05,1,3,3,NA,NA,0.000219054763530631
"3276","GO:0048588",6.3746177744949e-05,1,3,3,"developmental cell growth","BP",0.000222003189634113
"4780","GO:1990138",6.3746177744949e-05,1,3,3,"neuron projection extension","BP",0.000222003189634113
"1359","GO:0014066",6.38249666074107e-05,1,3,3,"regulation of phosphatidylinositol 3-kinase signaling","BP",0.000222119936980542
"4902","GO:2001252",6.43633948672802e-05,1,3,3,"positive regulation of chromosome organization","BP",0.00022383499547395
"3543","GO:0051321",6.52475116334454e-05,1,3,3,"meiotic cell cycle","BP",0.000226588492275525
"4590","GO:1903046",6.52475116334454e-05,1,3,3,"meiotic cell cycle process","BP",0.000226588492275525
"108","GO:0001077",6.53963766119207e-05,1,3,3,NA,NA,0.000226624307934107
"119","GO:0001228",6.53963766119207e-05,1,3,3,"DNA-binding transcription activator activity, RNA polymerase II-specific","MF",0.000226624307934107
"1942","GO:0030900",6.53963766119207e-05,1,3,3,"forebrain development","BP",0.000226624307934107
"2081","GO:0031965",6.71635056067289e-05,1,3,3,"nuclear membrane","CC",0.00023255720458716
"50","GO:0000381",6.7203202792866e-05,1,3,3,"regulation of alternative mRNA splicing, via spliceosome","BP",0.00023255720458716
"84","GO:0000794",6.78072399473871e-05,1,3,3,"condensed nuclear chromosome","CC",0.000234482118690506
"140","GO:0001667",6.83243408382411e-05,1,3,3,"ameboidal-type cell migration","BP",0.000236103901755809
"35","GO:0000280",6.85322226829604e-05,1,3,3,"nuclear division","BP",0.000236489181930581
"3231","GO:0048285",6.85322226829604e-05,1,3,3,"organelle fission","BP",0.000236489181930581
"3149","GO:0046685",7.06954231563736e-05,1,3,3,"response to arsenic-containing substance","BP",0.000243782460596153
"4263","GO:0097193",7.13395970274795e-05,1,3,3,"intrinsic apoptotic signaling pathway","BP",0.000245831041161406
"1178","GO:0009812",7.21562856894207e-05,1,3,3,"flavonoid metabolic process","BP",0.000248228932807458
"1978","GO:0031100",7.21562856894207e-05,1,3,3,"animal organ regeneration","BP",0.000248228932807458
"1195","GO:0009913",7.21872197098517e-05,1,3,3,"epidermal cell differentiation","BP",0.000248228932807458
"3569","GO:0051495",7.26137031513119e-05,1,3,3,"positive regulation of cytoskeleton organization","BP",0.000249346005152895
"4583","GO:1902905",7.26137031513119e-05,1,3,3,"positive regulation of supramolecular fiber organization","BP",0.000249346005152895
"757","GO:0006879",7.28002205035836e-05,1,3,3,"cellular iron ion homeostasis","BP",0.000249637094347369
"3664","GO:0055072",7.28002205035836e-05,1,3,3,"iron ion homeostasis","BP",0.000249637094347369
"3293","GO:0048660",7.30664955012362e-05,1,3,3,"regulation of smooth muscle cell proliferation","BP",0.000250200483897115
"3294","GO:0048661",7.30664955012362e-05,1,3,3,"positive regulation of smooth muscle cell proliferation","BP",0.000250200483897115
"798","GO:0007006",7.33020624858568e-05,1,3,3,"mitochondrial membrane organization","BP",0.000250482744163022
"1312","GO:0010827",7.33020624858568e-05,1,3,3,"regulation of glucose transmembrane transport","BP",0.000250482744163022
"3105","GO:0046324",7.33020624858568e-05,1,3,3,"regulation of glucose import","BP",0.000250482744163022
"2191","GO:0032651",7.36699947567163e-05,1,3,3,"regulation of interleukin-1 beta production","BP",0.000251040739077227
"2192","GO:0032652",7.36699947567163e-05,1,3,3,"regulation of interleukin-1 production","BP",0.000251040739077227
"2201","GO:0032731",7.36699947567163e-05,1,3,3,"positive regulation of interleukin-1 beta production","BP",0.000251040739077227
"2202","GO:0032732",7.36699947567163e-05,1,3,3,"positive regulation of interleukin-1 production","BP",0.000251040739077227
"4405","GO:0120114",7.38960683216445e-05,1,3,3,"Sm-like protein family complex","CC",0.00025155529486494
"41","GO:0000291",7.39235245965445e-05,1,3,3,"nuclear-transcribed mRNA catabolic process, exonucleolytic","BP",0.00025155529486494
"3363","GO:0050679",7.44847848699533e-05,1,3,3,"positive regulation of epithelial cell proliferation","BP",0.000253289562963867
"3605","GO:0051701",7.4736509023799e-05,1,3,3,"biological process involved in interaction with host","BP",0.000253812238548995
"4216","GO:0090257",7.47419369682694e-05,1,3,3,"regulation of muscle system process","BP",0.000253812238548995
"598","GO:0006144",7.51980346443114e-05,1,3,3,"purine nucleobase metabolic process","BP",0.000255008124395049
"1079","GO:0009112",7.51980346443114e-05,1,3,3,"nucleobase metabolic process","BP",0.000255008124395049
"1917","GO:0030705",7.62124728247962e-05,1,3,3,"cytoskeleton-dependent intracellular transport","BP",0.000258269754248118
"705","GO:0006644",7.64848778534648e-05,1,3,3,"phospholipid metabolic process","BP",0.000258300960514075
"706","GO:0006650",7.64848778534648e-05,1,3,3,"glycerophospholipid metabolic process","BP",0.000258300960514075
"1059","GO:0008654",7.64848778534648e-05,1,3,3,"phospholipid biosynthetic process","BP",0.000258300960514075
"2945","GO:0045017",7.64848778534648e-05,1,3,3,"glycerolipid biosynthetic process","BP",0.000258300960514075
"3124","GO:0046474",7.64848778534648e-05,1,3,3,"glycerophospholipid biosynthetic process","BP",0.000258300960514075
"276","GO:0002697",7.72527437886233e-05,1,3,3,"regulation of immune effector process","BP",0.000260714727490216
"2767","GO:0043388",7.81652103556861e-05,1,3,3,"positive regulation of DNA binding","BP",0.000262866232997974
"71","GO:0000776",7.82552293371057e-05,1,3,3,"kinetochore","CC",0.000262866232997974
"495","GO:0005667",7.86390012656724e-05,1,3,3,"transcription regulator complex","CC",0.000262866232997974
"592","GO:0006110",7.91223611448965e-05,1,3,3,"regulation of glycolytic process","BP",0.000262866232997974
"597","GO:0006140",7.91223611448965e-05,1,3,3,"regulation of nucleotide metabolic process","BP",0.000262866232997974
"1925","GO:0030808",7.91223611448965e-05,1,3,3,"regulation of nucleotide biosynthetic process","BP",0.000262866232997974
"1926","GO:0030810",7.91223611448965e-05,1,3,3,"positive regulation of nucleotide biosynthetic process","BP",0.000262866232997974
"1927","GO:0030811",7.91223611448965e-05,1,3,3,"regulation of nucleotide catabolic process","BP",0.000262866232997974
"1928","GO:0030813",7.91223611448965e-05,1,3,3,"positive regulation of nucleotide catabolic process","BP",0.000262866232997974
"2218","GO:0032869",7.91223611448965e-05,1,3,3,"cellular response to insulin stimulus","BP",0.000262866232997974
"2787","GO:0043470",7.91223611448965e-05,1,3,3,"regulation of carbohydrate catabolic process","BP",0.000262866232997974
"3035","GO:0045821",7.91223611448965e-05,1,3,3,"positive regulation of glycolytic process","BP",0.000262866232997974
"3078","GO:0045981",7.91223611448965e-05,1,3,3,"positive regulation of nucleotide metabolic process","BP",0.000262866232997974
"3497","GO:0051196",7.91223611448965e-05,1,3,3,NA,NA,0.000262866232997974
"3498","GO:0051197",7.91223611448965e-05,1,3,3,NA,NA,0.000262866232997974
"4440","GO:1900371",7.91223611448965e-05,1,3,3,"regulation of purine nucleotide biosynthetic process","BP",0.000262866232997974
"4441","GO:1900373",7.91223611448965e-05,1,3,3,"positive regulation of purine nucleotide biosynthetic process","BP",0.000262866232997974
"4444","GO:1900542",7.91223611448965e-05,1,3,3,"regulation of purine nucleotide metabolic process","BP",0.000262866232997974
"4445","GO:1900544",7.91223611448965e-05,1,3,3,"positive regulation of purine nucleotide metabolic process","BP",0.000262866232997974
"4653","GO:1903578",7.91223611448965e-05,1,3,3,"regulation of ATP metabolic process","BP",0.000262866232997974
"4654","GO:1903580",7.91223611448965e-05,1,3,3,"positive regulation of ATP metabolic process","BP",0.000262866232997974
"4891","GO:2001169",7.91223611448965e-05,1,3,3,"regulation of ATP biosynthetic process","BP",0.000262866232997974
"4892","GO:2001171",7.91223611448965e-05,1,3,3,"positive regulation of ATP biosynthetic process","BP",0.000262866232997974
"476","GO:0005509",7.93433073399905e-05,1,3,3,"calcium ion binding","MF",0.000263421927684258
"1576","GO:0016879",7.99081703339578e-05,1,3,3,"ligase activity, forming carbon-nitrogen bonds","MF",0.000265117911986972
"4797","GO:1990823",8.10430527080534e-05,1,3,3,"response to leukemia inhibitory factor","BP",0.000268520094286575
"4798","GO:1990830",8.10430527080534e-05,1,3,3,"cellular response to leukemia inhibitory factor","BP",0.000268520094286575
"1450","GO:0016050",8.11062035035286e-05,1,3,3,"vesicle organization","BP",0.000268548003098391
"184","GO:0001892",8.14079219851352e-05,1,3,3,"embryonic placenta development","BP",0.000269365255010828
"3279","GO:0048593",8.1694310253311e-05,1,3,3,"camera-type eye morphogenesis","BP",0.000270130714564014
"4321","GO:0098562",8.25325552902394e-05,1,3,3,"cytoplasmic side of membrane","CC",0.000272718686066805
"2361","GO:0034612",8.32167062603029e-05,1,3,3,"response to tumor necrosis factor","BP",0.000274609534377476
"4024","GO:0071356",8.32167062603029e-05,1,3,3,"cellular response to tumor necrosis factor","BP",0.000274609534377476
"4387","GO:0099738",8.34561705548952e-05,1,3,3,"cell cortex region","CC",0.000275214669968327
"2069","GO:0031672",8.52034407697202e-05,1,3,3,"A band","CC",0.000280787967667573
"1151","GO:0009612",8.54561208699674e-05,1,3,3,"response to mechanical stimulus","BP",0.000281431667858342
"2135","GO:0032271",8.59762646661863e-05,1,3,3,"regulation of protein polymerization","BP",0.000282954748971815
"3380","GO:0050730",8.7632741920417e-05,1,3,3,"regulation of peptidyl-tyrosine phosphorylation","BP",0.000288213045980889
"1440","GO:0015980",8.90563906424306e-05,1,3,3,"energy derivation by oxidation of organic compounds","BP",0.000292699068240058
"2414","GO:0035107",8.98712805092557e-05,1,3,3,"appendage morphogenesis","BP",0.000294982189604627
"3313","GO:0048736",8.98712805092557e-05,1,3,3,"appendage development","BP",0.000294982189604627
"3929","GO:0070585",9.27714231217591e-05,1,3,3,"protein localization to mitochondrion","BP",0.00030409443771441
"4158","GO:0072655",9.27714231217591e-05,1,3,3,"establishment of protein localization to mitochondrion","BP",0.00030409443771441
"3364","GO:0050680",9.47405430916162e-05,1,3,3,"negative regulation of epithelial cell proliferation","BP",0.000310341685547771
"1504","GO:0016485",9.50699615911743e-05,1,3,3,"protein processing","BP",0.000311213009691723
"1477","GO:0016236",9.68824367152223e-05,1,3,3,"macroautophagy","BP",0.000316934744641064
"1000","GO:0008201",9.73221432230221e-05,1,3,3,"heparin binding","MF",0.000318161063821032
"1489","GO:0016324",9.94098753864851e-05,1,3,3,"apical plasma membrane","CC",0.000324769812597525
"802","GO:0007015",9.98345164801141e-05,1,3,3,"actin filament organization","BP",0.000325806695073993
"1053","GO:0008593",9.98600508235755e-05,1,3,3,"regulation of Notch signaling pathway","BP",0.000325806695073993
"3785","GO:0060828",9.99660527831562e-05,1,3,3,"regulation of canonical Wnt signaling pathway","BP",0.000325935827911593
"1692","GO:0019787",0.000100358861305361,1,3,3,"ubiquitin-like protein transferase activity","MF",0.000326999291119128
"2112","GO:0032091",0.000100553848798908,1,3,3,"negative regulation of protein binding","BP",0.000327200090222971
"2769","GO:0043393",0.000100553848798908,1,3,3,"regulation of protein binding","BP",0.000327200090222971
"580","GO:0006006",0.000101907778420968,1,3,3,"glucose metabolic process","BP",0.000331166535570657
"1663","GO:0019318",0.000101907778420968,1,3,3,"hexose metabolic process","BP",0.000331166535570657
"3622","GO:0051881",0.000102780035273748,1,3,3,"regulation of mitochondrial membrane potential","BP",0.000333780035134535
"1840","GO:0030178",0.000104485922343468,1,3,3,"negative regulation of Wnt signaling pathway","BP",0.00033909551649431
"4514","GO:1901888",0.000105714113758075,1,3,3,"regulation of cell junction assembly","BP",0.000342854696768587
"1516","GO:0016569",0.000106323607395388,1,3,3,NA,NA,0.00034437619900275
"1517","GO:0016570",0.000106323607395388,1,3,3,"histone modification","BP",0.00034437619900275
"850","GO:0007219",0.000106847183252745,1,3,3,"Notch signaling pathway","BP",0.000345843752124815
"2422","GO:0035150",0.000107295713953648,1,3,3,"regulation of tube size","BP",0.000347066623843475
"3160","GO:0046822",0.000108943738350731,1,3,3,"regulation of nucleocytoplasmic transport","BP",0.00035216529913507
"2791","GO:0043487",0.00011032510858309,1,3,3,"regulation of RNA stability","BP",0.000356395857680858
"2293","GO:0033574",0.000110653968042363,1,3,3,"response to testosterone","BP",0.000357031802166667
"2424","GO:0035152",0.000110667489524251,1,3,3,"regulation of tube architecture, open tracheal system","BP",0.000357031802166667
"475","GO:0005507",0.000112202926330052,1,3,3,"copper ion binding","MF",0.000361747542379476
"3324","GO:0048806",0.000113017116812514,1,3,3,"genitalia development","BP",0.000364133284437956
"876","GO:0007308",0.00011477610096499,1,3,3,"oocyte construction","BP",0.000369073609066321
"877","GO:0007309",0.00011477610096499,1,3,3,"oocyte axis specification","BP",0.000369073609066321
"3282","GO:0048599",0.00011477610096499,1,3,3,"oocyte development","BP",0.000369073609066321
"945","GO:0007600",0.000115238779779699,1,3,3,"sensory perception","BP",0.000370318724544194
"1798","GO:0030018",0.000117188463854771,1,3,3,"Z disc","CC",0.000376337560298011
"2159","GO:0032436",0.000117935160784607,1,3,3,"positive regulation of proteasomal ubiquitin-dependent protein catabolic process","BP",0.000378487792001352
"3924","GO:0070555",0.000118238389626454,1,3,3,"response to interleukin-1","BP",0.000378965237032664
"4022","GO:0071347",0.000118238389626454,1,3,3,"cellular response to interleukin-1","BP",0.000378965237032664
"4184","GO:0090068",0.000119378760082834,1,3,3,"positive regulation of cell cycle process","BP",0.000381871952885571
"4522","GO:1901987",0.000119378760082834,1,3,3,"regulation of cell cycle phase transition","BP",0.000381871952885571
"4525","GO:1901990",0.000119378760082834,1,3,3,"regulation of mitotic cell cycle phase transition","BP",0.000381871952885571
"123","GO:0001525",0.000121219786943451,1,3,3,"angiogenesis","BP",0.000386893928061279
"3721","GO:0060359",0.000121220013892896,1,3,3,"response to ammonium ion","BP",0.000386893928061279
"4000","GO:0071242",0.000121220013892896,1,3,3,"cellular response to ammonium ion","BP",0.000386893928061279
"1432","GO:0015893",0.000121264084238485,1,3,3,NA,NA,0.000386893928061279
"1694","GO:0019827",0.000121855194582143,1,3,3,"stem cell population maintenance","BP",0.000388274960918555
"4334","GO:0098727",0.000121855194582143,1,3,3,"maintenance of cell number","BP",0.000388274960918555
"4","GO:0000028",0.000127681617343409,1,3,3,"ribosomal small subunit assembly","BP",0.000406576052111687
"1200","GO:0009953",0.000127837440688349,1,3,3,"dorsal/ventral pattern formation","BP",0.000406808249972588
"1830","GO:0030139",0.000128831902970915,1,3,3,"endocytic vesicle","CC",0.000409441805620647
"1907","GO:0030666",0.000128831902970915,1,3,3,"endocytic vesicle membrane","CC",0.000409441805620647
"511","GO:0005758",0.000130662075766874,1,3,3,"mitochondrial intermembrane space","CC",0.000414721090419178
"2085","GO:0031970",0.000130662075766874,1,3,3,"organelle envelope lumen","CC",0.000414721090419178
"1390","GO:0015036",0.000134619400721064,1,3,3,"disulfide oxidoreductase activity","MF",0.000426729586135828
"1534","GO:0016667",0.000134619400721064,1,3,3,"oxidoreductase activity, acting on a sulfur group of donors","MF",0.000426729586135828
"3108","GO:0046328",0.000138013016903896,1,3,3,"regulation of JNK cascade","BP",0.000437204566783355
"1906","GO:0030665",0.000140085556570285,1,3,3,"clathrin-coated vesicle membrane","CC",0.000443483758767991
"633","GO:0006352",0.00014394075423085,1,3,3,"DNA-templated transcription, initiation","BP",0.000455394765319652
"1481","GO:0016246",0.000158127661380628,1,3,3,"RNA interference","BP",0.000497825376007612
"1496","GO:0016441",0.000158127661380628,1,3,3,"posttranscriptional gene silencing","BP",0.000497825376007612
"1497","GO:0016458",0.000158127661380628,1,3,3,"gene silencing","BP",0.000497825376007612
"1963","GO:0031047",0.000158127661380628,1,3,3,"gene silencing by RNA","BP",0.000497825376007612
"2432","GO:0035194",0.000158127661380628,1,3,3,"post-transcriptional gene silencing by RNA","BP",0.000497825376007612
"2560","GO:0040029",0.000158127661380628,1,3,3,"regulation of gene expression, epigenetic","BP",0.000497825376007612
"775","GO:0006919",0.000158163798898689,1,3,3,"activation of cysteine-type endopeptidase activity involved in apoptotic process","BP",0.000497825376007612
"3541","GO:0051302",0.000158163798898689,1,3,3,"regulation of cell division","BP",0.000497825376007612
"630","GO:0006338",0.000162573967809917,1,3,3,"chromatin remodeling","BP",0.000510971657610112
"4876","GO:2001020",0.000162652889583655,1,3,3,"regulation of response to DNA damage stimulus","BP",0.000510971657610112
"4878","GO:2001022",0.000162652889583655,1,3,3,"positive regulation of response to DNA damage stimulus","BP",0.000510971657610112
"846","GO:0007186",0.000168459329162744,1,3,3,"G protein-coupled receptor signaling pathway","BP",0.000528873914396408
"3144","GO:0046660",0.000171931160313216,1,3,3,"female sex differentiation","BP",0.000539428518962244
"529","GO:0005791",0.000173261620472182,1,3,3,"rough endoplasmic reticulum","CC",0.000543255445148242
"2299","GO:0033674",0.000177035984435361,1,3,3,"positive regulation of kinase activity","BP",0.000554381350111241
"3044","GO:0045860",0.000177035984435361,1,3,3,"positive regulation of protein kinase activity","BP",0.000554381350111241
"4510","GO:1901857",0.000177278995571584,1,3,3,"positive regulation of cellular respiration","BP",0.000554788285248572
"1811","GO:0030098",0.000180386992174909,1,3,3,"lymphocyte differentiation","BP",0.000563795522676612
"1845","GO:0030217",0.000180386992174909,1,3,3,"T cell differentiation","BP",0.000563795522676612
"3655","GO:0055001",0.000184142848611318,1,3,3,"muscle cell development","BP",0.000575168019182518
"1470","GO:0016197",0.000189918331244325,1,3,3,"endosomal transport","BP",0.000592830312605538
"1036","GO:0008363",0.00019175114518572,1,3,3,"larval chitin-based cuticle development","BP",0.000596653690187906
"2396","GO:0035017",0.00019175114518572,1,3,3,"cuticle pattern formation","BP",0.000596653690187906
"2449","GO:0035293",0.00019175114518572,1,3,3,"chitin-based larval cuticle pattern formation","BP",0.000596653690187906
"2544","GO:0040003",0.00019175114518572,1,3,3,"chitin-based cuticle development","BP",0.000596653690187906
"2614","GO:0042337",0.00019175114518572,1,3,3,"cuticle development involved in chitin-based cuticle molting cycle","BP",0.000596653690187906
"3409","GO:0050808",0.000196063346863655,1,3,3,"synapse organization","BP",0.000609684944904915
"2776","GO:0043410",0.000203382480132854,1,3,3,"positive regulation of MAPK cascade","BP",0.000632044224200073
"1503","GO:0016482",0.000205012781192582,1,3,3,"cytosolic transport","BP",0.000636707416020253
"1455","GO:0016055",0.000230909207209522,1,3,3,"Wnt signaling pathway","BP",0.000715774781918587
"4420","GO:0198738",0.000230909207209522,1,3,3,"cell-cell signaling by wnt","BP",0.000715774781918587
"4739","GO:1905114",0.000230909207209522,1,3,3,"cell surface receptor signaling pathway involved in cell-cell signaling","BP",0.000715774781918587
"2269","GO:0033143",0.000579992709079078,1,2,2,"regulation of intracellular steroid hormone receptor signaling pathway","BP",0.00179333599461313
"2270","GO:0033144",0.000579992709079078,1,2,2,"negative regulation of intracellular steroid hormone receptor signaling pathway","BP",0.00179333599461313
"2271","GO:0033146",0.000579992709079078,1,2,2,"regulation of intracellular estrogen receptor signaling pathway","BP",0.00179333599461313
"2272","GO:0033147",0.000579992709079078,1,2,2,"negative regulation of intracellular estrogen receptor signaling pathway","BP",0.00179333599461313
"27","GO:0000175",0.000627014391037093,1,2,2,"3'-5'-exoribonuclease activity","MF",0.00193142474376586
"39","GO:0000289",0.000627014391037093,1,2,2,"nuclear-transcribed mRNA poly(A) tail shortening","BP",0.00193142474376586
"414","GO:0004535",0.000627014391037093,1,2,2,"poly(A)-specific ribonuclease activity","MF",0.00193142474376586
"1040","GO:0008408",0.000627014391037093,1,2,2,"3'-5' exonuclease activity","MF",0.00193142474376586
"1556","GO:0016796",0.000627014391037093,1,2,2,"exonuclease activity, active with either ribo- or deoxyribonucleic acids and producing 5'-phosphomonoesters","MF",0.00193142474376586
"1581","GO:0016896",0.000627014391037093,1,2,2,"exoribonuclease activity, producing 5'-phosphomonoesters","MF",0.00193142474376586
"2378","GO:0034702",0.000661852751106272,1,2,2,"ion channel complex","CC",0.00203363271739416
"2379","GO:0034703",0.000661852751106272,1,2,2,"cation channel complex","CC",0.00203363271739416
"4555","GO:1902495",0.000661852751106272,1,2,2,"transmembrane transporter complex","CC",0.00203363271739416
"4783","GO:1990351",0.000661852751106272,1,2,2,"transporter complex","CC",0.00203363271739416
"338","GO:0003279",0.000683956440805049,1,2,2,"cardiac septum development","BP",0.00209368325329406
"3290","GO:0048644",0.000683956440805049,1,2,2,"muscle organ morphogenesis","BP",0.00209368325329406
"3315","GO:0048738",0.000683956440805049,1,2,2,"cardiac muscle tissue development","BP",0.00209368325329406
"3658","GO:0055008",0.000683956440805049,1,2,2,"cardiac muscle tissue morphogenesis","BP",0.00209368325329406
"3728","GO:0060411",0.000683956440805049,1,2,2,"cardiac septum morphogenesis","BP",0.00209368325329406
"3731","GO:0060415",0.000683956440805049,1,2,2,"muscle tissue morphogenesis","BP",0.00209368325329406
"172","GO:0001824",0.000696915118401348,1,2,2,"blastocyst development","BP",0.00213069313769185
"173","GO:0001825",0.000696915118401348,1,2,2,"blastocyst formation","BP",0.00213069313769185
"323","GO:0003156",0.000727473449699184,1,2,2,"regulation of animal organ formation","BP",0.00220820658559218
"895","GO:0007391",0.000727473449699184,1,2,2,"dorsal closure","BP",0.00220820658559218
"1012","GO:0008258",0.000727473449699184,1,2,2,"head involution","BP",0.00220820658559218
"1949","GO:0030968",0.000728027810298221,1,2,2,"endoplasmic reticulum unfolded protein response","BP",0.00220820658559218
"130","GO:0001578",0.000729918704265441,1,2,2,"microtubule bundle formation","BP",0.00220820658559218
"352","GO:0003341",0.000729918704265441,1,2,2,"cilium movement","BP",0.00220820658559218
"353","GO:0003352",0.000729918704265441,1,2,2,"regulation of cilium movement","BP",0.00220820658559218
"354","GO:0003356",0.000729918704265441,1,2,2,"regulation of cilium beat frequency","BP",0.00220820658559218
"571","GO:0005930",0.000729918704265441,1,2,2,"axoneme","CC",0.00220820658559218
"1738","GO:0021591",0.000729918704265441,1,2,2,"ventricular system development","BP",0.00220820658559218
"2216","GO:0032838",0.000729918704265441,1,2,2,"plasma membrane bounded cell projection cytoplasm","CC",0.00220820658559218
"2408","GO:0035082",0.000729918704265441,1,2,2,"axoneme assembly","BP",0.00220820658559218
"2512","GO:0036158",0.000729918704265441,1,2,2,"outer dynein arm assembly","BP",0.00220820658559218
"3762","GO:0060632",0.000729918704265441,1,2,2,"regulation of microtubule-based movement","BP",0.00220820658559218
"3910","GO:0070286",0.000729918704265441,1,2,2,"axonemal dynein complex assembly","BP",0.00220820658559218
"4247","GO:0097014",0.000729918704265441,1,2,2,"ciliary plasm","CC",0.00220820658559218
"4293","GO:0097546",0.000729918704265441,1,2,2,"ciliary base","CC",0.00220820658559218
"1392","GO:0015077",0.000731561311240171,1,2,2,NA,NA,0.00221045034129034
"1417","GO:0015672",0.000731561311240171,1,2,2,NA,NA,0.00221045034129034
"4394","GO:0110020",0.000743614165278168,1,2,2,"regulation of actomyosin structure organization","BP",0.00224548597478152
"3694","GO:0060191",0.000747885682639262,1,2,2,"regulation of lipase activity","BP",0.0022569957224544
"1965","GO:0031056",0.000763987308221392,1,2,2,"regulation of histone modification","BP",0.00229992989045544
"1966","GO:0031058",0.000763987308221392,1,2,2,"positive regulation of histone modification","BP",0.00229992989045544
"4546","GO:1902275",0.000763987308221392,1,2,2,"regulation of chromatin organization","BP",0.00229992989045544
"4742","GO:1905269",0.000763987308221392,1,2,2,"positive regulation of chromatin organization","BP",0.00229992989045544
"4348","GO:0098798",0.000770190189893675,1,2,2,"mitochondrial protein-containing complex","CC",0.00231681293085056
"4128","GO:0072331",0.000773344117668188,1,2,2,"signal transduction by p53 class mediator","BP",0.00231681293085056
"110","GO:0001085",0.000777149803175061,1,2,2,NA,NA,0.00231681293085056
"159","GO:0001755",0.000777149803175061,1,2,2,"neural crest cell migration","BP",0.00231681293085056
"322","GO:0003151",0.000777149803175061,1,2,2,"outflow tract morphogenesis","BP",0.00231681293085056
"329","GO:0003208",0.000777149803175061,1,2,2,"cardiac ventricle morphogenesis","BP",0.00231681293085056
"841","GO:0007169",0.000777149803175061,1,2,2,"transmembrane receptor protein tyrosine kinase signaling pathway","BP",0.00231681293085056
"1256","GO:0010574",0.000777149803175061,1,2,2,"regulation of vascular endothelial growth factor production","BP",0.00231681293085056
"1257","GO:0010575",0.000777149803175061,1,2,2,"positive regulation of vascular endothelial growth factor production","BP",0.00231681293085056
"1355","GO:0014031",0.000777149803175061,1,2,2,"mesenchymal cell development","BP",0.00231681293085056
"1356","GO:0014032",0.000777149803175061,1,2,2,"neural crest cell development","BP",0.00231681293085056
"1357","GO:0014033",0.000777149803175061,1,2,2,"neural crest cell differentiation","BP",0.00231681293085056
"2984","GO:0045445",0.000777149803175061,1,2,2,"myoblast differentiation","BP",0.00231681293085056
"3320","GO:0048762",0.000777149803175061,1,2,2,"mesenchymal cell differentiation","BP",0.00231681293085056
"3335","GO:0048864",0.000777149803175061,1,2,2,"stem cell development","BP",0.00231681293085056
"3739","GO:0060485",0.000777149803175061,1,2,2,"mesenchyme development","BP",0.00231681293085056
