,Gene,Dispersion,AIC,logLik,meanExp,X.Intercept.,TreatmentVariable,OriginFlat,TreatmentVariable.OriginFlat,se_.Intercept.,se_TreatmentVariable,se_OriginFlat,se_TreatmentVariable.OriginFlat,Chisq_Treatment,Chisq_Origin,Chisq_Treatment.Origin,Df_Treatment,Df_Origin,Df_Treatment.Origin,P_Treatment,P_Origin,P_Treatment.Origin,Treatment,Origin,Treatment.Origin,Stable_OriginFC,Variable_OriginFC,maxGroupFC,col,RF13B,RF13D,RF14B,RF14C,RF15B,RF15D,RF17B,RF17D,RF18B,RF18D,RF19B,RF19C,RF20B,RF20C,RF22B,RF22C,RF23A,RF23C,RF24B,RF24D,RF25A,RF25C,RS11B,RS11D,RS12A,RS12C,RS13A,RS13C,RS14B,RS14C,RS15B,RS15D,RS1B,RS1C,RS2B,RS2C,RS3B,RS3D,RS6A,RS6D,RS7B,RS7C,RS8B,RS8C,RS9A,RS9C,y_Stable_Slope,y_Variable_Slope,y_Stable_Flat,y_Variable_Flat,xall_1,xall_2,xall_3,yall
1308,Pocillopora_acuta_HIv2___RNAseq.g7098.t1b,1.834175202,292.2956602,-140.1478301,2.371506667,1.501759933,0.623491056,0.407782626,-0.175185931,0.414015725,0.578106555,0.592975334,0.830519891,1.683926737,0.588417355,0.044493685,1,1,1,0.194403498,0.443031771,0.832937788,1,0.501716676,0.99942793,-0.497499687,-0.303271536,Stable,Not Significant,16.43715365,10.79204988,14.12355372,7.469517965,11.09225007,0,11.25036838,0,0,5.574160463,7.009177634,11.52530249,3.469447038,11.86448419,6.188509736,2.021271167,10.7691899,9.795107263,32.25892653,6.92033811,0,7.274019756,12.66909967,8.675740919,7.143403203,0,7.829323908,0,0,0,16.34222797,22.34913084,15.92144351,0,0,0,19.44630171,10.55372985,9.261668687,5.322818185,0,0,11.69376092,11.21406179,0,0,4.489583486,8.374999258,6.750000362,10.5681809,0.839300954,1.261872458,1.261872458,1.503480308
1117,Pocillopora_acuta_HIv2___RNAseq.g10921.t1,0.538118579,317.1673168,-152.5836584,3.135749739,2.263281045,0.134614228,0.407727885,-0.755002026,0.231323511,0.325467975,0.329726515,0.470907476,0.923484131,0.025473753,2.570544121,1,1,1,0.336561813,0.873192246,0.108870279,1,0.644404416,0.99942793,-0.54198348,0.451937046,Stable,Not Significant,7.19125472,13.73533621,0,11.73781394,8.067090957,15.08136782,0,12.84895169,11.74160704,23.41147395,17.91234284,8.06771174,10.40834112,14.60244208,0,15.15953375,13.70624169,16.65168235,0,18.16588754,10.69681348,8.183272226,9.745461282,7.591273304,11.22534789,10.50631775,6.850658419,10.48475948,13.85354098,9.673778068,16.34222797,0,5.686229825,0,9.675623521,10.38348986,7.778520684,9.594299866,20.06694882,0,10.99528329,26.39131659,11.69376092,8.410546346,6.906551704,13.22053702,9.614583351,11,14.45454545,7.772727495,0.470009663,0.70661159,0.70661159,1.503398008
833,Pocillopora_acuta_HIv2___RNAseq.g1407.t1,1.107128586,323.1644829,-155.5822414,2.862459617,1.960136065,0.29689475,0.407045536,-0.49667641,0.419040293,0.461398369,0.524799232,0.668215094,0.029231163,0.142020798,0.552477382,1,1,1,0.864246383,0.706280273,0.4573072,1,0.603089127,0.99942793,-0.526422891,0.116549345,Stable,Not Significant,40.06556201,31.39505419,3.766280992,6.40244397,0,10.6456714,0,11.68086517,10.56744633,0,9.345570178,9.220241989,5.782411731,6.388568408,3.867818585,5.053177916,4.89508632,7.83608581,9.775432281,13.84067622,18.33739454,24.54981668,25.33819933,7.591273304,6.122917031,3.502105916,28.38129917,26.68847867,5.833069888,0,1.720234524,0,6.82347579,12.47942664,9.675623521,5.768605478,14.58472628,17.26973976,0,0,1.099528329,0,8.09568064,2.803515449,23.02183901,20.9973235,7.100293103,9.554677404,10.66728521,8.73554156,0.608549873,0.914268603,0.914268603,1.502372516
1959,Pocillopora_acuta_HIv2___RNAseq.g26422.t1,0.113897008,436.3380564,-212.1690282,6.249622137,4.131642614,0.0931064,0.40658716,-0.05279975,0.112317964,0.147262596,0.156693934,0.210686615,0.408724739,10.98038211,0.062804366,1,1,1,0.522617488,0.000920814,0.802117202,1,0.013571388,0.99942793,-0.578944544,-0.504195825,Stable,q_Origin < 0.05,66.77593669,112.825976,110.163719,106.7073995,67.56188676,67.42258555,137.2544943,92.27883485,102.1519812,143.81334,83.33133409,71.45687541,108.7093405,103.1297472,53.37589647,67.71258408,131.1883134,104.8076477,88.95643376,87.36926864,93.21508893,75.46795497,43.85457577,66.1525245,84.70035226,63.03790649,70.46391517,68.62751659,70.7259724,52.76606219,46.44633214,42.06895218,60.27403615,64.317045,76.52538603,80.76047669,81.67446718,64.28180911,49.39556633,24.48496365,73.66839803,44.59222458,89.95200711,134.5687415,63.31005728,33.44018187,62.28014117,68.35734462,93.52509289,97.37177884,0.948569945,1.42445233,1.42445233,1.501684022
672,Pocillopora_acuta_HIv2___RNAseq.g7991.t1,0.661078252,305.8791229,-146.9395615,2.89848829,2.063693185,0.007905179,0.405945993,-0.318934616,0.256264834,0.362297931,0.365324213,0.519274589,0.322293615,0.913111234,0.377232564,1,1,1,0.570232516,0.339290262,0.539088055,1,0.44923555,0.99942793,-0.530372614,-0.112016076,Stable,Not Significant,5.136610515,4.905477217,7.532561984,14.93903593,9.075477326,16.85564639,0,17.52129776,15.26408915,16.72248139,10.12436769,16.13542348,18.50371754,16.42774734,0,14.14889817,4.89508632,4.897553631,13.68560519,6.92033811,9.168697272,2.727757409,8.770915154,19.52041707,6.122917031,13.13289718,9.786654885,10.48475948,5.103936152,0,15.48211071,0,10.23521369,11.51947075,6.157214968,12.69093205,9.723150854,0,0,6.387381823,10.99528329,0,8.09568064,9.345051495,0,8.55446513,7.875000001,7.9375,11.81818182,8.659090909,0.726923077,1.090909091,1.090909091,1.5007215
1507,Pocillopora_acuta_HIv2___RNAseq.g24628.t1,0.210392081,355.6832421,-171.8416211,4.408205058,2.882608542,0.045452851,0.405814368,-0.086472949,0.167730559,0.210631268,0.236854682,0.300446097,0.000387329,3.878546306,0.082837581,1,1,1,0.984298103,0.048906886,0.773488213,1,0.161429778,0.99942793,-0.559723012,-0.440543207,Stable,Not Significant,29.79234098,42.18710407,32.01338843,24.54270188,31.25997746,28.38845707,29.25095779,24.52981686,10.56744633,34.55979487,28.81550805,10.37277224,35.85095273,27.37957889,20.88622036,24.255254,19.58034528,19.59021453,13.68560519,31.14152149,21.39362697,26.36832162,18.51637644,10.84467615,17.34826492,22.76368845,11.74398586,13.34423934,13.85354098,7.035474958,21.50293154,30.23705938,11.37245965,13.43938254,7.036817106,5.768605478,20.41861679,24.94517965,18.52333737,22.35583638,9.895754959,14.56072639,71.96160569,45.79075233,20.71965511,13.99821567,17.86080313,18.69136015,26.80056342,25.72344447,0.917160359,1.376221113,1.376221113,1.500523981
510,Pocillopora_acuta_HIv2___TS.g1376.t2,0.515026898,326.2701935,-157.1350968,3.303526714,2.180888158,0.346505766,0.405678989,-0.353372745,0.22875904,0.319225882,0.325568526,0.457472005,0.58198075,0.98248894,0.596673919,1,1,1,0.445536976,0.321585099,0.439849898,1,0.43742733,0.99942793,-0.535603443,-0.070013976,Stable,Not Significant,19.51911996,9.810954435,10.35727273,0,17.14256828,6.209974985,10.12533154,19.85747079,0,22.29664185,7.787975149,12.67783273,8.095376423,10.03917893,13.92414691,22.23398283,9.790172639,17.63119307,23.46103747,12.11059169,15.28116212,14.54803951,0,13.01361138,31.63507133,10.50631775,13.70131684,0,13.85354098,9.673778068,9.461289879,6.573273778,15.92144351,8.639603059,10.55522566,3.461163287,12.64009611,0,20.06694882,21.29127274,0,10.92054479,9.894720783,13.08307209,13.81310341,6.221429185,8.854166667,12.52083333,13.28409091,13.19318182,0.70231536,1.053698381,1.053698381,1.500320856
1546,Pocillopora_acuta_HIv2___RNAseq.g293.t1,2.514130864,283.3157621,-135.657881,2.185368545,1.656241979,0.682152567,0.404561031,-1.213939231,0.47477843,0.665554941,0.682311044,0.965068323,0.047274547,0.175655919,1.582259719,1,1,1,0.827875508,0.675133365,0.208435499,1,0.592326415,0.99942793,-0.504598207,1.017537273,Variable,Not Significant,14.38250944,0,0,8.53659196,0,0,14.6254789,16.35321124,8.219124927,10.03348883,0,0,0,8.213873668,4.641382302,15.15953375,0,7.83608581,0,12.97563396,7.64058106,7.274019756,25.33819933,0,13.26632023,0,0,0,10.93700604,11.43264681,18.0624625,7.887928533,6.82347579,17.27920612,9.675623521,0,7.778520684,0,0,0,0,0,10.79424085,14.95208239,13.81310341,6.999107834,5.239583333,10.36458333,7.852272727,4.613636364,0.297024922,0.445134765,0.445134765,1.498644497
222,Pocillopora_acuta_HIv2___RNAseq.g13476.t1,0.341375543,395.251254,-191.625627,4.559703619,3.225934189,-0.126874716,0.404449058,-0.08392069,0.178207545,0.252910349,0.25534658,0.362514788,0.85682194,4.006814431,0.053590355,1,1,1,0.35462958,0.045316696,0.816929565,1,0.153843574,0.99942793,-0.565045546,-0.445252723,Stable,Not Significant,30.81966309,22.5651952,16.94826446,27.74392387,59.49479581,61.21261056,16.87555257,24.52981686,41.09562463,26.75597022,20.24873539,32.27084696,0,31.94284204,23.98047523,44.46796566,23.49641433,55.8321114,55.719964,45.84723998,31.32638235,31.82383643,22.41456095,19.52041707,7.143403203,21.88816197,26.42396819,28.59479858,24.06141329,11.43264681,10.32140714,0,34.11737895,26.87876507,16.71244063,31.15046958,37.92028833,37.41776948,0,31.93690911,20.89103825,22.75113499,25.18656199,30.83866993,33.38166657,26.44107404,25.17708333,22.17708333,37.72727273,30.55681819,0.919504179,1.377855588,1.377855588,1.498476699
1007,Pocillopora_acuta_HIv2___TS.g1190.t1,0.852436792,347.0049823,-167.5024911,3.369434507,2.521553273,-0.068395317,0.403561433,-0.26248284,0.278802566,0.394886462,0.400128827,0.567972447,0.473343374,0.926145229,0.213573466,1,1,1,0.491453068,0.335866592,0.64398086,1,0.447335563,0.99942793,-0.546145099,-0.188418582,Stable,Not Significant,0,15.6975271,10.35727273,22.40855389,0,21.29134281,15.75051574,19.85747079,16.43824985,22.29664185,20.24873539,18.44048398,9.251858769,13.68978945,12.37701947,17.18080492,15.66427622,13.71315017,25.41612393,24.22118338,12.2249297,15.45729198,0,18.43594945,16.32777875,0,18.59464428,21.92267891,8.020471096,0,16.34222797,19.71982133,0,19.19911791,0,18.45953753,14.58472628,13.43201981,0,0,29.68726488,9.100453996,16.19136128,13.08307209,16.11528731,15.55357296,12.44791667,11.62500006,18.63636364,13.38636364,0.769139563,1.151515146,1.151515146,1.497147204
119,Pocillopora_acuta_HIv2___RNAseq.g13941.t1,0.191342355,361.7821935,-174.8910968,4.630731567,3.050614324,0.09631545,0.403345623,-0.26582516,0.157768635,0.19871756,0.221748804,0.283960591,0.057075304,2.512794513,0.876346835,1,1,1,0.811179728,0.112925523,0.349204208,1,0.258808002,0.99942793,-0.560100754,-0.190740556,Stable,Not Significant,33.9016294,34.33834052,25.42239669,30.94514585,20.16772739,23.06562137,30.37599463,57.23623934,39.92146393,49.05261208,37.38228071,42.6436192,38.16391742,42.8946736,19.33909292,33.35097425,11.74820717,12.73363944,23.46103747,15.57076075,13.75304591,23.64056421,8.770915154,20.60488468,30.61458516,25.39026789,22.50930623,20.01635901,18.2283434,8.794343698,11.1815244,10.51723804,14.78419755,18.23916201,41.3413005,46.14884382,44.72649393,30.70175957,9.261668687,14.90389092,20.89103825,12.74063559,38.67936306,32.70768023,25.32402291,18.66428756,21.12832008,23.26452748,31.62537952,26.69430478,0.766573144,1.147425186,1.147425186,1.496824139
193,Pocillopora_acuta_HIv2___RNAseq.g28498.t1,0.224866956,340.4901558,-164.2450779,3.963374906,2.579269411,0.311102347,0.40273267,-0.348665448,0.158297208,0.220060284,0.223849787,0.31417252,0.795018411,2.065354695,1.231633331,1,1,1,0.372586969,0.150679867,0.267089629,1,0.304538505,0.99942793,-0.546909908,-0.074000581,Stable,Not Significant,22.60108626,21.58409976,27.30553719,19.20733191,23.1928865,21.29134281,15.75051574,17.52129776,18.78657126,10.03348883,14.79715278,16.13542348,24.28612927,26.46692626,17.01840177,20.21271167,15.66427622,9.795107263,11.73051874,23.35614112,11.46087159,26.36832162,27.28729159,11.92914376,4.081944687,0,9.786654885,16.20371919,14.58267472,7.914909328,30.96422142,18.40516658,34.11737895,14.39933843,14.07363421,13.84465315,25.28019222,20.14802972,4.630834343,0,8.79622663,15.47077179,13.49280107,14.95208239,23.02183901,20.21964485,13.1875,18,19.72727273,19,0.70562916,1.055555556,1.055555556,1.495906937
2467,Pocillopora_acuta_HIv2___TS.g14415.t1,0.204694572,383.0759708,-185.5379854,4.967781374,3.243174973,0.133968199,0.401556947,-0.14326891,0.159943279,0.201002729,0.224331801,0.287124624,0.197281946,3.691149164,0.248979182,1,1,1,0.656923784,0.054701916,0.617794786,1,0.173576954,0.99942793,-0.561284658,-0.361747085,Stable,Not Significant,19.51911996,31.39505419,56.49421488,46.95125578,28.23481835,22.17848209,56.25184191,59.57241237,58.70803519,69.11958975,45.17025586,53.01639144,61.29356435,53.84650515,25.52760266,38.40415216,29.37051792,30.36483251,24.4385807,23.35614112,18.33739454,16.36654445,11.69455354,19.52041707,31.63507133,18.38605606,14.67998233,19.06319905,45.93542537,51.88662782,26.66363511,9.202583289,28.43114913,35.51836813,26.38806415,18.45953753,53.4773297,53.72807925,40.13389764,34.06603639,34.08537819,17.29086259,26.98560213,24.29713389,20.71965511,10.88750107,25.61491944,29.2869836,38.27251137,37.91820002,0.866521021,1.29471169,1.29471169,1.494149199
1902,Pocillopora_acuta_HIv2___RNAseq.g15885.t1,2.13126196,295.796732,-141.898366,2.358719293,1.829242563,0.214409763,0.401504633,-0.328080344,0.437017386,0.615945034,0.628097327,0.887474201,0.016161901,0.285680255,0.136662371,1,1,1,0.89883793,0.593002116,0.711621874,1,0.562844319,0.99942793,-0.511697674,-0.094166809,Stable,Not Significant,0,0,6.590991736,8.53659196,0,13.30708925,0,0,7.044964223,14.49281721,9.345570178,5.762651243,9.251858769,13.68978945,7.73563717,14.14889817,10.7691899,18.6107038,29.32629684,11.24554943,5.348406742,0,9.745461282,0,0,0,16.6373133,17.15687915,0,0,0,0,11.37245965,0,6.157214968,11.53721096,16.52935645,15.35087979,0,9.581072734,0,0,11.69376092,6.541536047,20.71965511,10.88750107,6.229166672,7.718749174,9.306817501,8.306817933,0.720305145,1.076187054,1.076187054,1.494071036
400,Pocillopora_acuta_HIv2___RNAseq.g5783.t1,0.925510217,293.6490944,-140.8245472,2.599206791,1.938441854,-0.112549379,0.400957212,-0.302269305,0.298529257,0.423872864,0.426637136,0.608253194,0.727757877,0.688101779,0.246955839,1,1,1,0.393610915,0.406810788,0.619226769,1,0.482561496,0.99942793,-0.517217894,-0.123444555,Stable,Not Significant,0,14.71643165,13.18198347,9.603665955,10.0838637,11.53281069,9.000294706,15.18512472,3.522482112,0,8.566772663,17.28795373,0,17.34039996,6.962073453,7.074449083,9.790172639,10.77461799,0,6.92033811,7.64058106,3.637009878,10.72000741,9.760208534,0,8.75526479,11.74398586,4.765799763,9.478738568,4.397171849,0,19.71982133,0,7.679647164,7.036817106,16.15209534,4.861575427,8.63486988,0,0,8.79622663,0,8.995200711,0,8.057643654,6.221429185,6.947916667,6.208333334,10.375,6.852272728,0.739138984,1.103721782,1.103721782,1.493253373
29,Pocillopora_acuta_HIv2___RNAseq.g15715.t1,0.094863114,343.117277,-165.5586385,4.864015964,3.17805383,0.114691843,0.400401806,-0.193888885,0.106665183,0.149595026,0.150131338,0.211923955,0.029116594,8.182157397,0.837039059,1,1,1,0.864510105,0.004230442,0.360244977,1,0.036341075,0.99942793,-0.558490289,-0.288260382,Stable,q_Origin < 0.05,41.09288412,33.35724508,37.66280992,34.14636784,21.17611376,14.19422854,29.25095779,61.90858541,43.44394604,49.05261208,31.93069811,23.05060497,31.22502335,31.94284204,31.7161124,52.55305033,27.41248339,31.34434324,22.48349425,30.27647923,30.56232424,37.27935125,23.38910708,41.20976936,18.36875109,17.51052958,24.46663721,26.68847867,19.68661087,11.43264681,30.10410416,23.6637856,37.52911685,18.23916201,37.82289195,33.45791177,22.36324697,23.98574967,30.87222896,12.77476365,17.59245326,17.29086259,22.48800178,31.77317508,39.13712632,25.66339539,24,26.91666667,35.81818182,33.09090909,0.82374943,1.229383619,1.229383619,1.492424242
1467,Pocillopora_acuta_HIv2___RNAseq.g21198.t2,0.271851896,546.5549882,-267.2774941,7.390326865,5.132361164,-0.1306545,0.399589993,-0.139548975,0.152139629,0.21531758,0.219591548,0.310839744,1.619331901,4.506895164,0.201548799,1,1,1,0.20318497,0.033758467,0.653473594,1,0.12911113,0.99942793,-0.573695161,-0.37295097,Stable,Not Significant,144.8524165,232.5196201,183.6061983,225.1526129,224.8701604,385.0184491,281.2592096,231.2811304,305.281783,422.5213631,126.1651974,220.1332775,187.3501401,161.5395155,99.01615577,92.97847366,291.7471446,239.0006172,189.6433863,386.6738919,82.51827545,153.6636674,154.9528344,328.5936873,74.49549055,186.48714,50.8906054,49.56431754,153.1180846,86.18456824,76.5504363,182.737011,94.3914151,212.1502529,134.5791272,223.8218925,135.1517969,115.1315984,174.4280936,251.2370184,96.75849293,209.3104419,125.0332899,135.5032467,559.430688,63.76964915,169.4166667,148.6666667,252.6363636,192.8181818,0.869750426,1.296983285,1.296983285,1.491213165
2383,Pocillopora_acuta_HIv2___RNAseq.g3208.t1,0.566826841,366.8065743,-177.4032872,3.841653449,2.641286986,0.281538517,0.399440381,-0.312989385,0.230596056,0.323870064,0.330226364,0.465597198,0.312617846,1.080599703,0.451896005,1,1,1,0.576078196,0.298563437,0.501435944,1,0.42427308,0.99942793,-0.544312725,-0.118611468,Stable,Not Significant,9.245898926,8.829858991,20.71454545,24.54270188,31.25997746,30.16273564,18.00058941,17.52129776,38.74730323,17.83731348,6.230380119,32.27084696,15.0342705,17.34039996,3.867818585,18.1914405,33.28658697,47.99602559,27.37121039,16.43580301,18.33739454,0,18.51637644,16.26701422,0,0,20.55197526,30.50111848,24.79054703,14.07094992,24.08328333,0,14.78419755,18.23916201,29.02687056,0,23.33556205,9.594299866,18.52333737,25.54952729,10.99528329,15.47077179,17.09088135,9.345051495,11.51091951,19.4419662,14.03125001,18.59375,20.92045455,20.27272727,0.731257675,1.090297937,1.090297937,1.490990078
1381,Pocillopora_acuta_HIv2___RNAseq.g17780.t1,0.474572079,321.4623026,-154.7311513,3.288735698,2.384549031,-0.250629168,0.399339247,-0.078148033,0.217313753,0.310865583,0.309816534,0.443109877,1.703006311,2.6582389,0.031103785,1,1,1,0.191895286,0.103014734,0.860009045,1,0.246609806,0.99942793,-0.535488464,-0.420810018,Stable,Not Significant,9.245898926,8.829858991,8.474132232,12.80488794,13.1090228,23.06562137,11.25036838,16.35321124,10.56744633,11.14832093,17.13354533,13.83036298,0,20.99101048,8.509200887,15.15953375,21.53837981,20.56972525,14.66314842,17.30084527,6.112464848,14.54803951,4.872730641,0,0,4.377632395,0,13.34423934,0,9.673778068,7.741055356,9.202583289,11.37245965,18.23916201,19.35124704,17.30581643,8.750835769,13.43201981,15.43611448,0,12.09481162,14.56072639,15.29184121,11.21406179,9.208735605,13.22053702,10.85416667,8.447916671,16.18181818,11.64772727,0.924827512,1.378769196,1.378769196,1.490839295
627,Pocillopora_acuta_HIv2___TS.g2727.t1,0.587772824,398.8666953,-193.4333476,4.265387936,2.993646767,0.174812572,0.398418131,-0.147661583,0.230556155,0.325027035,0.331130544,0.46748592,0.196031405,1.925346246,0.09976954,1,1,1,0.657943433,0.165268489,0.752106371,1,0.317037481,0.99942793,-0.551995729,-0.348789735,Stable,Not Significant,21.57376416,30.41395875,32.01338843,49.08540377,42.35222752,31.04987492,16.87555257,33.874509,42.26978534,24.52630604,25.70031799,20.74554447,24.28612927,32.85549467,20.88622036,21.22334725,26.43346613,32.32385397,43.98944526,26.81631018,26.74203371,22.73131174,20.46546869,0,0,0,38.16795405,21.92267891,16.77007593,21.98585924,42.14574583,0,25.01941123,23.99889739,27.26766629,20.76697972,20.41861679,27.82346961,0,0,20.89103825,41.86208838,35.08128277,34.57669053,24.17293096,27.99643133,19.95833333,23.77083333,29.72727273,30.54545455,0.862723026,1.284997211,1.284997211,1.489466692
1265,Pocillopora_acuta_HIv2___RNAseq.g30548.t1c,0.14059201,422.232322,-205.116161,5.654886218,3.817991766,-0.045642788,0.39804318,-0.086889005,0.126136603,0.165861582,0.182049223,0.238857825,0.546371328,6.733603786,0.132327681,1,1,1,0.45980417,0.009461326,0.716030723,1,0.060486694,0.99942793,-0.56403377,-0.440201813,Stable,Not Significant,45.20217253,43.16819951,71.55933884,52.28662575,65.54511402,78.95539624,46.12651037,39.71494158,35.22482112,18.95214558,60.74620616,63.38916367,63.60652904,77.57547353,44.09313187,58.61686383,61.67808763,92.07400827,53.76487755,142.7319735,75.64175249,76.37720744,43.85457577,52.05444551,39.7989607,35.02105916,32.29596112,61.00223697,37.18582054,19.34755614,59.34809106,47.3275712,15.92144351,30.71858865,40.46169836,29.99674849,47.64343919,58.52522919,41.67750909,39.38885457,38.48349151,54.60272397,80.9568064,55.13580382,39.13712632,52.88214808,45.51271629,43.48208341,67.76426194,59.3530288,0.916778848,1.364999654,1.364999654,1.48890832
2534,Pocillopora_acuta_HIv2___RNAseq.g2050.t1,0.195763963,286.8750476,-137.4375238,3.349249924,2.065128087,0.129687417,0.397419643,-0.006886777,0.177303882,0.228856078,0.239219501,0.320071733,0.621396624,5.113264705,0.000462953,1,1,1,0.430528765,0.023743601,0.982833758,1,0.10381875,0.99942793,-0.519105559,-0.51590169,Stable,Not Significant,9.245898926,7.848763548,13.18198347,10.67073995,15.12579554,14.19422854,7.875257868,8.17660562,11.74160704,20.06697767,13.23955775,9.220241989,19.66019988,14.60244208,12.37701947,12.127627,10.7691899,8.815596536,7.820345825,6.055295846,18.33739454,18.18504939,7.796369025,6.506805689,2.040972344,0,18.59464428,9.531599526,4.374802416,11.43264681,6.020820832,2.629309511,7.960721756,6.719691268,6.157214968,4.614884382,5.833890513,8.63486988,23.15417172,19.16214547,10.99528329,4.550226998,8.09568064,13.08307209,16.11528731,6.999107834,7.886307969,8.978344442,11.73467027,13.26791045,0.993136883,1.477768038,1.477768038,1.48798022
109,Pocillopora_acuta_HIv2___RNAseq.20199_t,0.078303751,351.2665299,-169.633265,5.178953678,3.370165272,0.24300236,0.397357309,-0.365787381,0.096905286,0.134770657,0.136418428,0.192032036,0.42838687,4.910511199,3.628357427,1,1,1,0.51278155,0.02669374,0.056802852,1,0.112350382,0.99942793,-0.557453817,-0.044368029,Stable,Not Significant,33.9016294,30.41395875,40.48752066,45.88418178,54.45286396,34.59843206,33.75110515,26.86598989,34.05066041,74.69375021,39.71867326,40.3385587,33.53798804,40.15671571,17.01840177,40.42542333,51.88791499,55.8321114,51.80979109,46.71228224,18.33739454,39.09785619,32.16002223,39.04083413,38.77847453,18.38605606,43.06128149,21.92267891,21.87401208,34.29794042,36.98504226,22.34913084,42.07810071,27.83872097,30.78607484,28.84302739,38.89260342,24.94517965,52.48278923,28.7432182,40.68254816,23.66118039,25.18656199,30.83866993,52.95022973,36.55089646,29.08333333,37.08333333,43.27272727,38.27272727,0.693650269,1.032073544,1.032073544,1.487887471
1146,Pocillopora_acuta_HIv2___TS.g24066.t1,0.058376739,498.6734231,-243.3367116,7.775302958,5.157137753,0.148651628,0.397230283,-0.05821544,0.073106495,0.10306725,0.10489695,0.148020561,2.650080677,24.7232913,0.154679328,1,1,1,0.103544641,6.62E-07,0.69410314,1,6.59E-05,0.99942793,-0.570371912,-0.487045106,Stable,q_Origin < 0.05,293.8141214,311.0072556,227.86,264.6343508,215.7946831,197.8320602,270.0088412,228.9449573,255.9670334,234.1147395,263.23356,193.6250818,253.2696338,235.4643785,259.9174089,354.7330897,279.0199202,238.0211065,268.8243877,239.6167071,349.9386126,319.1476168,160.8001112,235.3294724,220.4250131,175.9808223,195.7330977,197.3041102,146.5558809,147.7449741,184.065094,151.1852969,258.1548341,172.7920612,189.9940619,134.9853682,207.1031132,176.5351175,216.1056027,144.7806546,223.2042507,111.0255387,230.2771382,198.1150917,192.2323558,174.9776958,173.6666667,201.5,258.3636364,282.8181818,0.943446669,1.403564178,1.403564178,1.487698482
949,Pocillopora_acuta_HIv2___RNAseq.g4054.t1c,2.675588674,294.6676018,-141.3338009,2.302640207,1.745569992,0.276253433,0.397166474,-0.035662988,0.487351078,0.686666407,0.701008967,0.988450825,0.275055132,0.588801298,0.001301743,1,1,1,0.599960728,0.442883024,0.971218826,1,0.501641763,0.99942793,-0.500947173,-0.469432152,Stable,Not Significant,0,0,8.474132232,20.2744059,0,12.41994997,21.37569993,0,12.91576774,28.98563441,17.13354533,0,16.19075285,16.42774734,7.73563717,0,13.70624169,0,10.75297551,13.84067622,6.876522954,0,13.64364579,10.84467615,0,0,13.70131684,0,0,6.156040588,16.34222797,0,0,6.719691268,10.55522566,0,6.806205598,11.51315984,18.52333737,0,0,10.0104994,10.79424085,19.62460814,0,0,5.729166124,7.552083044,8.522727902,10.84090967,0.964965443,1.435486025,1.435486025,1.487603556
679,Pocillopora_acuta_HIv2___RNAseq.g2785.t1,0.167519233,304.0419745,-146.0209873,3.7377398,2.375874278,0.232969273,0.396714445,-0.279489289,0.14732408,0.204448808,0.206434601,0.289640498,0.418738836,3.094888441,0.931133105,1,1,1,0.517567012,0.078538535,0.334568661,1,0.21380344,0.99942793,-0.531595571,-0.158135548,Stable,Not Significant,22.60108626,15.6975271,16.00669422,14.93903593,4.033545478,13.30708925,9.000294706,22.19364382,11.74160704,21.18180976,11.68196272,19.59301423,24.28612927,10.03917893,17.79196549,19.20207608,18.60132801,10.77461799,14.66314842,22.49109886,10.69681348,8.183272226,16.56728418,11.92914376,8.163889375,4.377632395,13.70131684,12.39107938,10.93700604,7.035474958,16.34222797,18.40516658,7.960721756,4.799779477,6.157214968,23.07442191,12.64009611,5.75657992,20.06694882,12.77476365,16.49292493,0,15.29184121,20.55911329,20.71965511,10.10982243,10.76041667,13.58333333,16,15.27272727,0.756169827,1.12437256,1.12437256,1.486931268
1397,Pocillopora_acuta_HIv2___RNAseq.g13637.t1,0.113720027,353.9496064,-170.9748032,4.72590715,3.13231889,0.062947069,0.396711863,-0.134801173,0.114504966,0.161248363,0.161605152,0.228493692,0.001342428,8.307036812,0.348047817,1,1,1,0.97077272,0.003949177,0.555220299,1,0.034660271,0.99942793,-0.552452778,-0.364718546,Stable,q_Origin < 0.05,44.17485043,35.31943596,18.83140496,34.14636784,30.25159109,25.72703922,29.25095779,24.52981686,32.87649971,33.44496278,41.27626829,31.11831671,34.69447038,37.41875782,25.52760266,45.47860125,31.32855245,28.40581106,25.41612393,39.79194413,21.39362697,35.46084631,16.56728418,40.12530175,27.55312664,28.01684733,18.59464428,15.25055924,26.2488145,14.95038429,19.78269702,22.34913084,26.1566572,0,36.94328981,28.84302739,23.33556205,23.98574967,29.32861751,34.06603639,15.3933966,19.11095339,24.28704192,34.57669053,25.32402291,12.44285837,22.92708333,24.41666667,34.09090909,31.72727273,0.873889647,1.299410487,1.299410487,1.48692743
